row_number(),Pests,Pests_Key,Pests_Sub_Key,Sci_Name,Res_MOA_Group
44,TUMBLEWEED,TUMBLEWEED,TUMBLEWEED,KALI TRAGUS,2
45,VETCH,VETCH,VETCH,VICIA SPP.,
46,WEEDS,WEEDS,WEEDS,,
47,WILD RADISH,WILD RADISH,WILD RADISH,RAPHANUS RAPHANISTRUM,
48,WINTER ANNUALS,WEEDS,WINTER ANNUALS,,
49,YELLOW ROCKET,YELLOW ROCKET,YELLOW ROCKET,BARBAREA VULGARIS,
50,ALDER,ALDER,ALDER,ALNUS SPP.,
51,ANNUAL SOW THISTLE,SMARTWEED,ANNUAL SOW THISTLE,SONCHUS OLERACEUS,
52,BLUE LETTUCE,BLUE LETTUCE,BLUE LETTUCE,LACTUCA PULCHELLA,
53,BULL THISTLE,THISTLE,BULL THISTLE,CIRSIUM VULGARE,
54,BUTTERCUP,BUTTERCUP,BUTTERCUP,RANUNCULUS SPP.,
55,COMMON CHICKWEED,CHICKWEED,COMMON CHICKWEED,STELLARIA MEDIA,2
56,COMMON HAWKWEED,HAWKWEED,COMMON HAWKWEED,HIERACIUM LACHENALII,
57,COMMON PLANTAIN,PLANTAIN,COMMON PLANTAIN,PLANTAGO MAJOR,
58,COMMON PURSLANE,PURSLANE,COMMON PURSLANE,PORTULACA OLERACEA,
59,CURLED DOCK,SORREL,CURLED DOCK,RUMEX CRISPUS,
60,DAISY FLEABANE,FLEABANE,DAISY FLEABANE,ERIGERON ANNUUS,
61,DANDELION (IN LAWN),DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
62,FALSE FLAX,FALSE FLAX,FALSE FLAX,CAMELINA SATIVA,
63,FLIXWEED,FLIXWEED,FLIXWEED,DESCURANIA SOPHIA,
64,GOAT?S BEARD,GOATSBEARD,GOATSBEARD,TRAGOPOGON SPP.,
65,GOOSEFOOT,GOOSEFOOT,GOOSEFOOT,CHENOPODIUM SPP.,
66,GREEN SMARTWEED,SMARTWEED,GREEN SMARTWEED,PERSICARIA LAPATHIFOLIA,2
67,GROUNDSEL,GROUNDSEL,GROUNDSEL,SENECIO SPP.,
68,GUMWEED,GUMWEED,GUMWEED,GRINDELIA SPP.,
69,HARDHACK,HARDHACK,HARDHACK,SPIREA TOMENTOSA,
70,HAWKWEED,HAWKWEED,HAWKWEED,HIERACIUM SPP.,
71,HEAL-ALL,HEALALL,HEALALL,PRUNELLA VULGARIS,
72,KNOTWEED,KNOTWEED,KNOTWEED,REYNOUTRIA SPP.,
73,LAMB'S-QUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
74,MOUSE-EARED CHICKWEED,MOUSE-EARED CHICKWEED,MOUSE-EARED CHICKWEED,CERASTIUM FONTANUM,
75,MUSTARDS,MUSTARD,MUSTARD,BRASSICA SPP.,
76,NARROW-LEAVED HAWK?S BEARD,HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
77,NARROW-LEAVED HAWK?SBEARD,HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
78,PENNSYLVANIA SMARTWEED,SMARTWEED,PENNSYLVANIA SMARTWEED,PERSICARIA PENSYLVANICA,
79,PEPPERGRASS,PEPPERGRASS,PEPPERGRASS,LEPIDIUM CAMPESTRE,
80,PINEAPPLEWEED,PINEAPPLE WEED,PINEAPPLE WEED,MATRICARIA MATRICARIOIDES,
81,PROSTRATE PIGWEED,AMARANTH,PROSTRATE PIGWEED,AMARANTHUS BLITOIDES,
82,PURPLE ASTER,ASTER,PURPLE ASTER,ASTER SPP.,
83,RUSSIAN KNAPWEED,RUSSIAN KNAPWEED,RUSSIAN KNAPWEED,LEUZEA REPENS,
84,SHEEP SORREL,SORREL,SHEEP SORREL,RUMEX ACETOSELLA,5
85,SHEPHERD?S PURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
86,ST. JOHN?S WORT,ST. JOHNSWORT,ST. JOHNSWORT,HYPERICUM PERFORATUM,
87,STINGING NETTLE,STINGING NETTLE,STINGING NETTLE,URTICA DIOICA,
88,TANSY MUSTARD,TANSY MUSTARD,TANSY MUSTARD,DESCURAINIA SOPHIA,
89,TEASEL,TEASEL,TEASEL,DIPSACUS SPP.,
90,THYME-LEAVED SPURGE,SPURGE,THYMELEAVED SPURGE,EUPHORBIA SERPILLIFOLIA,
91,TUMBLE PIGWEED,AMARANTH,TUMBLE PIGWEED,AMARANTHUS ALBUS,
92,VELVETLEAF,VELVETLEAF,VELVETLEAF,ABUTILON THEOPHRASTI,
93,VOLUNTEER CANOLA,CANOLA,VOLUNTEER CANOLA,BRASSICA NAPUS,
94,WILD BUCKWHEAT,BUCKWHEAT,WILD BUCKWHEAT,FALLOPIA CONVOLVULUS,2
95,WILD SUNFLOWER,WILD SUNFLOWER,WILD SUNFLOWER,JERUSALEM ARTICHOKE,
96,CHOKECHERRY,CHERRY,CHOKECHERRY,PRUNUS VIRGINICA,
97,COMMON RAGWEED,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
98,COMMON RAGWEED (INCLUDING TRIAZINE RESISTANT TYPES),RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
99,FALSE RAGWEED,RAGWEED,FALSE RAGWEED,AMBROSIA ACANTHICARPA,
100,FIELD DANDELION,DANDELION,COMMON DANDELION,TARAXACUM OFFICINALE,
101,GIANT RAGWEED (INCLUDING TRIAZINE RESISTANT TYPES),RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
102,GUM WEED,GUMWEED,GUMWEED,GRINDELIA SPP.,
103,HEMP NETTLE,HEMPNETTLE,COMMON HEMPNETTLE,GALEOPSIS TETRAHIT,"2,4"
104,HORSETAIL,HORSETAIL,HORSETAIL,EQUISETUM ARVENSE,
105,LADY?S THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
106,LAMB?S-QUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
107,LAMB?SQUARTERS (INCLUDING TRIAZINE RESISTANT TYPES),LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
108,OAK-LEAVED GOOSEFOOT,GOOSEFOOT,OAKLEAF GOOSEFOOT,CHENOPODIUM GLAUCUM,
109,PERENNIAL SOWTHISTLE,SOW THISTLE,PERENNIAL SOW THISTLE,SONCHUS ARVENSIS,
110,PLANTAINS,PLANTAIN,PLANTAIN,PLANTAGO SPP.,
111,PROSTATE PIGWEED,AMARANTH,PROSTRATE PIGWEED,AMARANTHUS BLITOIDES,
112,PURSLANE,PURSLANE,COMMON PURSLANE,PORTULACA OLERACEA,
113,RED BARTSIAS,RED BARTSIAS,RED BARTSIAS,ODONTITES VERNA,
114,REDROOT PIGWEED (INCLUDING TRIAZINE RESISTANT TYPES),AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
115,SHEP-HERD?S PURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
116,SOW THISTLE,SOW THISTLE,SOW THISTLE,SONCHUS OLERACEUS,
117,ST. JOHNSWORT,ST. JOHNSWORT,ST. JOHNSWORT,HYPERICUM PERFORATUM,
118,VELVET LEAF,VELVETLEAF,VELVETLEAF,ABUTILON THEOPHRASTI,
119,VOLUNTEER SUNFLOWER,SUNFLOWER,VOLUNTEER SUNFLOWER,HELIANTHUS ANNUUS,
120,WESTERN SNOWBERRY,SNOWBERRY,WESTERN SNOWBERRY,SYMPHORICARPOS OCCIDENTALIS,
121,WILD (PRAIRIE) SUNFLOWER,SUNFLOWER,PRAIRIE SUNFLOWER,HELIANTHUS PETIOLARIS,
122,WILLOW,WILLOW,WILLOW,SALIX SPP.,
123,ANNUAL SOW-THISTLE,SOW THISTLE,ANNUAL SOW THISTLE,SONCHUS OLERACEUS,
124,FIELD PENNYCRESS,FIELD PENNYCRESS,STINKWEED,THLASPI ARVENSE,2
125,GOAT?S-BEARD,GOATSBEARD,GOATSBEARD,TRAGOPOGON SPP.,
126,LADY?S-THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
127,PLANTAIN,PLANTAIN,PLANTAIN,PLANTAGO SPP.,
128,RAGWEED,RAGWEED,RAGWEED,AMBROSIA SPP.,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
129,SHEPHERD?S-PURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
130,VETCH RADISH,VETCH,VETCH RADISH,VICIA SPP.,
131,WOODY PLANTS SUSCEPTIBLE SPECIES,WOODY WEEDS,WOODY PLANTS SUSCEPTIBLE SPECIES,,
132,BALSAM POPLAR,POPLAR,BALSAM POPLAR,POPULUS BALSAMIFERA,
133,CHICORY,CHICORY,CHICORY,CICHORIUM INTYBUS,
134,FIELD CHICKWEED,FIELD CHICKWEED,FIELD CHICKWEED,CERASTIUM ARVENSE,
135,FIELD PEPPER-GRASS,PEPPERGRASS,FIELD PEPPERGRASS,LEPIDIUM CAMPESTRE,
136,GIANT RAGWEED,RAGWEED,GIANT RAGWEED,AMBROSIA TRIFIDA,"9,2+9"
137,HEMP-NETTLE,HEMPNETTLE,COMMON HEMPNETTLE,GALEOPSIS TETRAHIT,"2,4"
138,MAPLE,MAPLE,MAPLE,ACER SPP.,
139,MIXED HARDWOOD SPECIES,MIXED HARDWOOOD,MIXED HARDWOOOD,,
140,NARROW-LEAVED HAWK?S-BEARD,HAWKSBEARD,NARROWLEAF HAWKSBEARD,CREPIS TECTORUM,2
141,RUSSIAN-THISTLE,RUSSIAN THISTLE,RUSSIAN THISTLE,KALI TRAGUS,2
142,SCENTLESS MAYWEED,SCENTLESS MAYWEED,SCENTLESS MAYWEED,TRIPLEUROSPERMUM INODORUM,
143,TREMBLING ASPEN,ASPEN,TREMBLING ASPEN,POPULUS TREMULOIDES,
144,UNDESIRABLE HARDWOOD SPECIES,HARDWOOD WEEDS,HARDWOOD WEEDS,,
145,WOODY BRUSH,BRUSH,WOODY BRUSH,,
146,WOODY PLANT,WOODY WEEDS,WOODY PLANT,,
147,YOUNG TREES,TREES,YOUNG TREES,,
148,LADYS THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
149,LAMBS-QUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
150,SHEPHERDS PURSE,SHEPHERDS PURSE,SHEPHERDS PURSE,CAPSELLA BURSA-PASTORIS,2
151,WOODY PLANTS,WOODY WEEDS,WOODY PLANTS,,
152,BALSAM,BALSAM,BALSAM,ABIES SPP.,
153,BIRCH,BIRCH,BIRCH,BETULA SPP.,
154,BRAMBLES (SOME),BRAMBLE,BRAMBLE,RUBUS SPP.,
155,BRUSH,BRUSH,BRUSH,,
156,CHERRY,CHERRY,CHERRY,PRUNUS SPP.,
157,COMMON DOCKS,SORREL,COMMON DOCK,RUMEX ACETOSA,
158,ELM,ELM,ELM,ULMUS SPP.,
159,HAZELNUT,HAZELNUT,HAZELNUT,CORYLUS AVELLANA,
160,HEMLOCK,HEMLOCK,HEMLOCK,TSUGA SPP.,
161,LARGE TREES,LARGE TREES,LARGE TREES,,
162,LOW-GROWING BRUSH,BRUSH,BRUSH,,
163,LOW-GROWING WOODY PLANTS,WOODY PLANTS,WOODY PLANTS,,
164,MANITOBA MAPLE,MAPLE,MANITOBA MAPLE,ACER NEGUNDO,
165,PINE,PINE,PINE,PINUS SPP.,
166,POISON IVY,POISON IVY,POISON IVY,TOXICODENDRON RADICANS,
167,POPLAR,POPLAR,POPLAR,POPULUS SPP.,
168,REGROWTH,NA,NA,,
169,SMALL TREES,TREES,TREES,,
170,SPRUCE,SPRUCE,SPRUCE,PICEA SPP.,
171,SUMAC,SUMAC,SUMAC,RHUS SPP.,
172,SUSCEPTIBLE SPECIES (CERTAIN),WEEDS,SUSCEPTIBLE WEEDS,,
173,THIMBLEBERRY,THIMBLEBERRY,THIMBLEBERRY,RUBUS PARVIFLORUS,
174,GROUND IVY,GROUND IVY,GROUND IVY,GLECHOMA HEDERACEA,
175,WHITE CLOVER,CLOVER,WHITE CLOVER,TRIFOLIUM REPENS,
176,BLACK MEDICK,BLACK MEDICK,BLACK MEDICK,MEDICAGO LUPULINA,
177,CHICKWEED,CHICKWEED,CHICKWEED,STELLARIA MEDIA,2
178,CLEAVERS,CLEAVERS,CLEAVERS,GALIUM APARINE L.,
179,CLOVER,CLOVER,CLOVER,TRIFOLIUM SPP.,
180,CLOVERS (VOLUNTEER),CLOVER,VOLUNTEER CLOVER,TRIFOLIUM SPP.,
181,CORN SPURRY,CORN SPURRY,CORN SPURRY,SPERGULA ARVENSIS,
182,CREEPING CHARLIE,CREEPING CHARLIE,CREEPING CHARLIE,GLECHOMA HEDERACEA,
183,STITCHWORT,STITCHWORT,STITCHWORT,STELLARIA SPP.,
184,CINQUEFOIL (POTENTILLA SPP.),CINQUEFOIL,CINQUEFOIL,POTENTILLA SPP.,
185,CREEPING BUTTERCUP,BUTTERCUP,CREEPING BUTTERCUP,RANUNCULUS REPENS,
186,EASTERN BLACK NIGHTSHADE,NIGHTSHADE,EASTERN BLACK NIGHTSHADE,SOLANUM PTYCANTHUM,
187,GOLDENROD,GOLDENROD,GOLDENROD,SOLIDAGO SPP.,
188,LARGE CRABGRASS (DIGITARIA SANGUINALIS),CRABGRASS,LARGE CRABGRASS,DIGITARIA SANGUINALIS,1
189,RUSHES (JUNCUS BUFONLUS),RUSHES,TOAD RUSH,JUNCUS BUFONLUS,
190,RUSHES (JUNCUS CANADENSIS),RUSHES,CANADIAN RUSH,JUNCUS CANADENSIS,
191,RUSHES (JUNCUS EFFUSES),RUSHES,SOFT RUSH,JUNCUS EFFUSES,
192,RUSHES (JUNCUS TENUIS),RUSHES,SLENDER RUSH,JUNCUS TENUIS,
193,SEDGES (CAREX SPP.),SEDGE,SEDGE,CAREX SPP.,
194,WILD MUSTARD,WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
195,ADZUKI BEANS,ADZUKI BEAN,ADZUKI BEAN,VIGNA ANGULARIS,
196,ALFALFA,ALFALFA,ALFALFA,MEDICAGO SATIVA,
197,BIRDSFOOT TREFOIL,BIRDSFOOT TREFOIL,BIRDSFOOT TREFOIL,LOTUS CORNICULATUS,
198,CANOLA,CANOLA,CANOLA,BRASSICA NAPUS,
199,CHICKPEAS,CHICKPEA,CHICKPEA,CICER ARIETINUM,
200,FABA BEANS,FABA BEAN,FABA BEAN,VICIA FABA,
201,FLAX,FLAX,FLAX,LINUM SPP.,
202,LENTILS,LENTIL,LENTIL,VICIA LENS,
203,PEAS,PEA,PEA,LATHYRUS OLERACEUS,
204,PERENNIAL GRASS,GRASS,GRASS,,
205,RED CLOVER,CLOVER,RED CLOVER,TRIFOLIUM PRATENSE,
206,RED KIDNEY BEANS,KIDNEY BEAN,RED KIDNEY BEAN,PHASEOLUS VULGARIS,
207,SOYBEANS,SOYBEAN,SOYBEAN,GLYCINE MAX,
208,SUNFLOWERS,SUNFLOWER,SUNFLOWER,HELIANTHUS ANNUUS,
209,SWEET WHITE LUPINS,LUPIN,WHITE LUPIN,LUPINUS ALBUS,
210,WHITE BEANS,COMMON BEAN,WHITE BEAN,PHASEOLUS VULGARIS,
211,BARNYARD GRASS,BARNYARD GRASS,COMMON BARNYARD GRASS,ECHINOCHLOA CRUSGALLI,5
212,GREEN FOXTAIL,FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
213,PERSIAN DARNEL,DARNEL,PERSIAN DARNEL,LOLIUM PERSICUM,1
214,WILD OATS,OAT,WILD OAT,AVENA FATUA,"1,2,15,1+2,1+2+15,1+2+14+15"
215,YELLOW FOXTAIL,FOXTAIL,YELLOW FOXTAIL,SETARIA PUMILA,5
216,AMERICAN NIGHTSHADE,NIGHTSHADE,AMERICAN NIGHTSHADE,SOLANUM AMERICANUM,
217,CANADA FLEABANE,FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
218,COMMON RAGWEED INCLUDES ATRAZINE RESISTANT SPECIES,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
219,COMMON RAGWEED INCLUDES ATRAZINE RESISTANT SPECIES.,RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
220,COW COCKLE,COW COCKLE,COW COCKLE,VACCARIA HISPANICA,2
221,"CRABGRASS (SMOOTH, HAIRY)",CRABGRASS,CRABGRASS,DIGITARIA SPP.,
222,FALL PANICUM,FALL PANICUM,FALL PANICUM,PANICUM DICHTOMIFLORUM,
223,"FOXTAIL (GREEN, YELLOW, GIANT)",FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
224,HARES EAR MUSTARD,HARE'S EAR MUSTARD,HARE'S EAR MUSTARD,CONRINGIA ORIENTALIS,
225,INDIAN MUSTARD,MUSTARD,INDIAN MUSTARD,BRASSICA JUNCEA,
226,LADYS-THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
227,LAMBS-QUARTERS INCLUDES ATRAZINE RESISTANT SPECIES.,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
228,OLD WITCHGRASS,WITCHGRASS,OLD WITCHGRASS,PANICUM CAPILLARE,5
229,PERENNIAL  SOW THISTLE,SOW THISTLE,PERENNIAL SOW THISTLE,SONCHUS ARVENSIS,
230,REDROOT PIGWEED INCLUDES ATRAZINE RESISTANT SPECIES.,AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
231,TUMBLE MUSTARD,TUMBLE MUSTARD,TUMBLE MUSTARD,SISYMBRIUM ALTISSIMUM,
232,WORMSEED MUSTARD,WORMSEED MUSTARD,WORMSEED MUSTARD,ERYSIMUM CHEIRANTHOIDES L.,
233,CANADA FLEABANE (1 TO 20 CM),FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
234,CRABGRASS (HAIRY),CRABGRASS,HAIRY CRABGRASS,DIGITARIA SANGUINALIS,
235,CRABGRASS SMOOTH,CRABGRASS,SMOOTH CRABGRASS,DIGITARIA ISCHAEMUM,
236,FOXTAIL (GIANT),FOXTAIL,GIANT FOXTAIL,SETARIA FABERI,2
237,FOXTAIL (GREEN),FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
238,FOXTAIL YELLOW,FOXTAIL,YELLOW FOXTAIL,SETARIA PUMILA,5
239,LAMBSQUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
240,PROSO MILLET,PROSO MILLET,PROSO MILLET,PANICUM MILIACEUM,
241,WATERHEMP,AMARANTH,WATERHEMP,AMARANTHUS SPP.,"2,2+5,2+9,2+14,2+27,5+9,2+5+9,2+9+14,2+5+9+14,2+5+9+14+27"
242,WITCHGRASS,WITCHGRASS,WITCHGRASS,PANICUM CAPILLARE,5
243,"AMERICAN NIGHTSHADE (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",NIGHTSHADE,AMERICAN NIGHTSHADE,SOLANUM AMERICANUM,
244,BARNYARD GRASS (UP TO 2-LEAF),BARNYARD GRASS,COMMON BARNYARD GRASS,ECHINOCHLOA CRUSGALLI,5
245,"CANADA FLEABANE (1-20 CM) (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",FLEABANE,CANADA FLEABANE,ERIGERON CANADENSIS,"2,9,22,2+9"
246,"COMMON RAGWEED (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",RAGWEED,COMMON RAGWEED,AMBROSIA ARTEMISIIFOLIA,"2,5,2+5,2+9,2+5+9,2+5+14,2+5+9+14"
247,"EASTERN BLACK NIGHTSHADE (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",NIGHTSHADE,EASTERN BLACK NIGHTSHADE,SOLANUM PTYCANTHUM,
248,FALL PANICUM (UP TO 2-LEAF),FALL PANICUM,FALL PANICUM,PANICUM DICHTOMIFLORUM,
249,GIANT FOXTAIL (UP TO 2-LEAF),FOXTAIL,GIANT FOXTAIL,SETARIA FABERI,2
250,GREEN FOXTAIL (UP TO 2-LEAF),FOXTAIL,GREEN FOXTAIL,SETARIA VIRIDIS,"2,1,1+3,3"
251,HAIRY CRABGRASS (UP TO 2-LEAF),CRABGRASS,HAIRY CRABGRASS,DIGITARIA SANGUINALIS,
252,LAMBS QUARTERS,LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
253,"LAMBS QUARTERS (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",LAMB'S QUARTERS,COMMON LAMB'S QUARTERS,CHENOPODIUM ALBUM,"2,5"
254,PROSO MILLET  (UP TO 2-LEAF),PROSO MILLET,PROSO MILLET,PANICUM MILIACEUM,
255,"REDROOT PIGWEED (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",AMARANTH,REDROOT PIGWEED,AMARANTHUS RETROFLEXUS,"2,5,6"
256,SMOOTH CRABGRASS (UP TO 2-LEAF),CRABGRASS,SMOOTH CRABGRASS,DIGITARIA ISCHAEMUM,
257,"VELVETLEAF (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",VELVETLEAF,VELVETLEAF,ABUTILON THEOPHRASTI,
258,"WATERHEMP (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",AMARANTH,WATERHEMP,AMARANTHUS SPP.,"2,2+5,2+9,2+14,2+27,5+9,2+5+9,2+9+14,2+5+9+14,2+5+9+14+27"
259,"WILD MUSTARD (INCLUDING TRIAZINE,GROUP 2-AND GLYPHOSATE-RESISTANT BIOTYPES)",WILD MUSTARD,WILD MUSTARD,RHAMPHOSPERMUM ARVENSE,"2,4,5"
260,WITCHGRASS  (UP TO 2-LEAF),WITCHGRASS,WITCHGRASS,PANICUM CAPILLARE,5
261,YELLOW FOXTAIL  (UP TO 2-LEAF),FOXTAIL,YELLOW FOXTAIL,SETARIA PUMILA,5
262,COMMON COCKLEBUR,COCKLEBUR,COMMON COCKLEBUR,XANTHIUM STRUMARIUM L.,
263,LADY'S-THUMB,SMARTWEED,LADYS THUMB,PERSICARIA MACULOSA,
264,VOLUNTEER ADZUKI BEAN (VIGNA ANGULARIS),ADZUKI BEAN,VOLUNTEER ADZUKI BEAN,VIGNA ANGULARIS,
265,VOLUNTEER CLOVER,CLOVER,VOLUNTEER CLOVER,TRIFOLIUM SPP.,
266,JAPANESE BROME GRASS,BROME,JAPANESE BROME,BROMUS JAPONICUS THUNB. EX MURR,
