row_number(),Sites of Use,Crop_Name
112,BIRDSFOOT TREFOIL,
113,CANOLA,CANOLA
114,CARROTS,
115,CHICKPEAS,
116,COLE CROPS,
117,CUCUMBERS,
118,DRY PEAS,PEAS
119,FABA BEANS,
120,FIELD CROPS,
121,FIELD PEAS,PEAS
122,FRUIT,
123,GARBAGE DUMPS,
124,INDUSTRIAL PARKS,
125,LENTILS,
126,MUSTARD,
127,NONCROP LAND,
128,ONIONS,
129,PEAS,PEAS
130,POTATOES,
131,RED CLOVER,
132,RED KIDNEY BEANS,
133,RIGHTS-OF-WAY FOR TRANSPORTATION,
134,RIGHTS-OF-WAY FOR UTILITY CORRIDORS,
135,SOYBEANS,
136,SUNFLOWERS,
137,SWEET WHITE LUPINS,
138,TURNIPS,
139,VEGETABLES,
140,WASTELAND,
141,WHITE BEANS,
142,WHITE CLOVER,
143,SPRING WHEAT,WHEAT
144,ROUNDUP READY 2 XTEND® SOYBEAN,
145,SEED CORN,CORN
146,SWEET CORN,CORN
147,SWITCHGRASS,
148,CLEARFIELD PLUS WHEAT,WHEAT
149,CLEARFIELD WHEAT (WHEAT VARIETIES WITH THE CLEARFIELD TRAIT),WHEAT
150,DURUM WHEAT,WHEAT
151,SEED CORN INBREDS,CORN
152,CANARY SEED,
153,CANOLA (BRASSICA NAPUS),CANOLA
154,SPRING BARLEY,BARLEY
155,WHEAT (DURUM),WHEAT
156,WHEAT (SPRING),WHEAT
157,CREEPING RED FESCUE,
158,CRESTED WHEAT GRASS,WHEAT
159,ESTABLISHED CREEPING RED FESCUE,
160,INTERMEDIATE WHEAT GRASS,WHEAT
161,ORCHARD GRASS,
162,PASTURE,
163,BEANS (ALL TYPES),
164,POTATO,
165,UNDER APPLE TREES,
166,CLOVERS,
167,ESTABLISHED CRESTED WHEATGRASS,WHEAT
168,ESTABLISHED INTERMEDIATE WHEATGRASS,WHEAT
169,ESTABLISHED MEADOW BROMEGRASS,
170,ESTABLISHED SMOOTH BROMEGRASS,
171,ESTABLISHMENT OF NORTHERN WHEATGRASS,WHEAT
172,ESTABLISHMENT OF SLENDER WHEATGRASS,WHEAT
173,ESTABLISHMENT OF WESTERN WHEATGRASS,WHEAT
174,PERENNIAL CEREAL RYE,
175,SAINFOIN,
176,SEEDLING CREEPING RED FESCUE,
177,SEEDLING CRESTED WHEATGRASS,WHEAT
178,SEEDLING INTERMEDIATE WHEATGRASS,WHEAT
179,SEEDLING MEADOW BROMEGRASS,
180,SEEDLING SMOOTH BROMEGRASS,
181,SPRING RYE,
182,TRITICALE,WHEAT
183,WINTER RYE,
184,GLYPHOSATE TOLERANT CORN,CORN
185,CORN (SEED),CORN
186,CORN (SWEET),CORN
187,GLYPHOSATE TOLERANT FIELD CORN,CORN
188,NON-GRAZED AREAS,
189,RED SKINNED POTATOES,
190,RIGHTS-OF-WAY FOR UTILITY LINES,
191,WASTELANDS,
192,SOYBEAN,
193,ALTAI WILD RYEGRASS (ESTABLISHED),
194,ALTAI WILD RYEGRASS (SEEDLING),
195,AROUND FARM BUILDINGS,
196,CREEPING RED FESCUE (ESTABLISHED),
197,CREEPING RED FESCUE (SEEDLING),
198,CRESTED WHEATGRASS (ESTABLISHED),WHEAT
199,CRESTED WHEATGRASS (SEEDLING),WHEAT
200,INTERMEDIATE WHEATGRASS (ESTABLISHED),WHEAT
201,INTERMEDIATE WHEATGRASS (SEEDLING),WHEAT
202,KENTUCKY BLUEGRASS (ESTABLISHED),
203,KENTUCKY BLUEGRASS (SEEDLING),
204,MEADOW FESCUE (ESTABLISHED),
205,MEADOW FESCUE (SEEDLING),
206,MEADOW FOXTAIL (ESTABLISHED),
207,MEADOW FOXTAIL (SEEDLING),
208,NON-CROP FARMLAND,
209,ORCHARD GRASS (ESTABLISHED),
210,ORCHARD GRASS (SEEDLING),
211,REED CANARY GRASS (ESTABLISHED),
212,REED CANARY GRASS (SEEDLING),
213,RUSSIAN WILD RYEGRASS (ESTABLISHED),
214,RUSSIAN WILD RYEGRASS (SEEDLING),
215,SLENDER WHEATGRASS ( ESTABLISHED),WHEAT
216,SLENDER WHEATGRASS ( SEEDLING),WHEAT
217,SMOOTH BROMEGRASS ( ESTABLISHED),
218,SMOOTH BROMEGRASS ( SEEDLING),
219,STORAGE AREAS,
220,STREAMBANK WHEATGRASS ( ESTABLISHED),WHEAT
221,STREAMBANK WHEATGRASS ( SEEDLING),WHEAT
222,SUGAR BEETS,
223,SUMMERFALLOW,
224,TALL FESCUE (ESTABLISHED),
225,TALL FESCUE (SEEDLING),
226,TALL WHEATGRASS (ESTABLISHED),WHEAT
227,TALL WHEATGRASS (SEEDLING),WHEAT
228,TIMOTHY (ESTABLISHED),
229,TIMOTHY (SEEDLING),
230,ALFALFA (GROWN FOR SEED),
231,CANOLA HYBRID SEED PRODUCTION,CANOLA
232,CORN SEPARATOR ROWS IN HYBRID CANOLA SEED PRODUCTION,CORN
233,RASPBERRY,
234,LEGUMES (ALFALFA,
235, ALSIKE AND RED CLOVER),
236,PASTURES (WITHOUT LEGUMES),
237,ACORN SQUASH,
238,BLACK BEANS,
239,BROWN EYE BEANS,
240,BROWN MUSTARD,
241,BUTTERNUT SQUASH,
242,CALABAZA,
243,CANOLA (RAPESEED),CANOLA
244,CHINESE CUCUMBER,
245,CHINESE OKRA,
246,CITRON MELON,
247,CONDIMENT TYPE ORIENTAL MUSTARD (INCLUDING CANOLA QUALITY BRASSICA JUNCEA),
248,CRANBERRY BEANS,
249,CROOKNECK SQUASH,
250,CUCUMBER,
251,DRY COMMON BEANS (PHASEOLUS VULGARIS SPP),
252,DRY FABA BEANS (DRY BROAD BEANS) AND NARROW LEAF LUPIN,
253,EDIBLE GOURD (HYOTAN,
254, CUCUZZA),
255,ESTABLISHED ALSIKE CLOVERS FOR SEED PRODUCTION,
256,ESTABLISHED CREEPING RED FESCUE FOR SEED PRODUCTION,
257,ESTABLISHED RED CLOVER FOR SEED PRODUCTION,
258,FLAX (INCLUDING LOW LINOLENIC ACID VARIETIES),
259,GHERKIN,
260,GREAT NORTHERN BEANS,
261,HUBBARD SQUASH,
262,INDUSTRIAL HEMP FOR FIBRE,
263, SEED,
264, OIL PRODUCTION,
265,LIMA BEANS,
266,MUNG BEANS,
267,MUSKMELON HYBRIDS AND OR CULTIVARS OF CUCUMIS MELO INCLUDING TRUE CANTALOUPE,
268, CANTALOUPE,
269, CASABA,
270, CRENSHAW MELON,
271, GOLDEN PERSHAW MELON,
272, HONEYDEW MELON,
273, HONEY BALLS,
274, MANGO MELON,
275, PERSIAN MELON,
276, PINEAPPLE MELON,
277, SANTA CLAUS MELON,
278, AND SNAKE MELON,
279,,
280,NARROW LEAF LUPIN,
281,NAVY BEANS,
282,OILSEED TYPE ORIENTAL MUSTARD (INCLUDING CANOLA QUALITY BRASSICA JUNCEA),
283,OTEBO BEANS,
284,PEAS (FIELD),PEAS
285,PEAS (PROCESSING),PEAS
286,PINK BEANS,
287,PINTO BEANS,
288,PUMPKIN,
289,RUTABAGAS,
290,SCALLOP SQUASH,
291,SEED ALFALFA,
292,SEEDLING CREEPING RED FESCUE FOR SEED PRODUCTION,
293,SEEDLING SEED PRODUCTION ALSIKE CLOVER,
294,SEEDLING SEED PRODUCTION BIRDS-FOOT TREFOIL,
295,SEEDLING SEED PRODUCTION RED CLOVER,
296,SEEDLING SEED PRODUCTION SAINFOIN,
297,SEEDLING SEED PRODUCTION SWEET CLOVER,
298,SEEDLING SEED PRODUCTION WHITE CLOVER,
299,SMALL RED BEANS,
300,SNAP BEANS,
301,SOYBEANS INCLUDING VARIETIES DESIGNATED STS,
302,SPAGHETTI SQUASH,
303,STRAIGHTNECK SQUASH,
304,SUGARBEETS,
305,SUMMER SQUASH,
306,VEGETABLE MARROW,
307,WATERMELON INCLUDING HYBRIDS AND/OR VARIETIES OF CITRULLUS LANATUS,
308,WHITE KIDNEY BEANS,
309,WINTER SQUASH,
310,YELLOW EYE BEANS,
311,YELLOW MUSTARD,
312,ZUCCHINI,
313,CLEARFIELD WHEAT,WHEAT
314,BASIL,
315,CARAWAY,
316,CARROT,
317,CORIANDER,
318,DESI CHICKPEAS,
319,DILL,
320,DRY BULB ONIONS,
321,DRY COMMON BEANS(PHASEOLUS VULGARIS VARIETIES ONLY),
322,FENUGREEK,
323,KABULI CHICKPEAS,
324,ORIENTAL (BROWN) MUSTARD (CONDIMENT AND OILSEED TYPES),
325,PARSNIP,
326,PRAIRIE CARNATION,
327,RADISH,
328,RED GARDEN (TABLE) BEET,
329,SAFFLOWER,
330,SEEDLING ALFALFA,
331,SPINACH,
332,ACUTE WILLOW,
333,ALTAI WILD RYEGRASS,
334,BALSAM FIR CHRISTMAS TREE PLANTATIONS,
335,BALSAM FIR CHRISTMAS TREE STANDS,
336,BEARING AND NON-BEARING APPLES,
337,BROCCOLI,
338,BUFFALOBERRY,
339,CABBAGE,
340,CAULIFLOWER,
341,CHINESE BROCCOLI,
342,CHINESE RADISH,
343,CHOKECHERRY,
344,COLORADO SPRUCE,
345,CRESTED WHEATGRASS,WHEAT
346,CROP GROUP 12-09: STONE FRUITS,
347,ESTABLISHED BALSAM FIR PLANTATIONS,
348,ESTABLISHED CONIFER PLANTATIONS,
349,ESTABLISHED FRASER FIR PLANTATIONS,
350,ESTABLISHED WHITE PINE PLANTATIONS,
351,ESTABLISHED WHITE SPRUCE PLANTATIONS,
352,GRASS PASTURE,
353,INTERMEDIATE WHEATGRASS,WHEAT
354,KENTUCKY BLUEGRASS,
355,KOHLRABI,
356,MEADOW FESCUE,
357,MEADOW FOXTAIL,
358,MUSTARD CABBAGE,
359,NAPPA CABBAGE,
360,NON-CROP AREAS,
361,NON-CROPS AREAS,
362,POPLAR HYBRID SPECIES NEW AND ESTABLISHED SHORT ROTATION INTENSIVE CULTURE,
363,POPLAR SPECIES,
364,REED CANARY GRASS,
365,RUSSIAN WILD RYEGRASS,
366,RUTABAGA,
367,SLENDER WHEATGRASS,WHEAT
368,SMOOTH BROMEGRASS,
369,STRAWBERRY (RENOVATION),
370,STREAMBANK WHEATGRASS,WHEAT
371,TALL FESCUE,
372,TALL WHEATGRASS,WHEAT
373,TAL,
374,CHICKPEAS DESI,
375,CHICKPEAS KABULI,
376,VEGTABLES,
377,ALFALFA ESTABLISHMENT,
378,DRY COMMON BEANS (WHITE OR KIDNEY),
379,FABABEANS,
380,INDUSTRIAL HEMP,
381,MUSTARD (YELLOW ONLY),
382,SPRING WHEAT (DURUM),WHEAT
383,ALMOND,
384,APPLES,
385,APRICOTS,
386,BEECH NUT,
387,BUR OAK NUT,
388,BUTTERNUT,
389,CHERRIES (SOUR),
390,CHERRIES (SWEET),
391,CHESTNUT,
392,CHINQUAPIN NUT,
393,DRY COMMON BEANS,
394,FILBERT (HAZELNUT),
395,GINGKO NUT,
396,GRAPES,
397,HEARTNUT,
398,HICKORY NUT,
399,JAPANESE HORSE CHESTNUT,
400,LETTUCE,
401,LOWBUSH BLUEBERRIES,
402,NECTARINES,
403,PEACHES,
404,PEARS,
405,PECAN,
406,PINE NUT,
407,PLUMS,
408,STRAWBERRIES (DAY NEUTRAL AND JUNE BEARING),
409,WALNUT,
410,CANOLA HYBRID SEED,CANOLA
411,GLUFOSINATE AMMONIUM TOLERANT (LIBERTYLINK®) FIELD CORN,CORN
412,GLUFOSINATE AMMONIUM TOLERANT SOYBEANS,
413,GLUFOSINATE AMMONIUM TOLERANT CANOLA,CANOLA
414,HYBRID CANOLA SEED PRODUCTION,CANOLA
415,ROUNDUP READY® CANOLA WITH THE POD SHATTER REDUCTION TRAIT,CANOLA
416,CANOLA (ONLY ROUNDUP READY CANOLA WITH THE POD SHATTER REDUCTION TRAIT),CANOLA
417,GLUFOSINATE AMMONIUM TOLERANT CANOLA VARIETIES OR HYBRIDS,CANOLA
418,HYBRID SEED PRODUCTION GLUFOSINATE AMMONIUM TOLERANT CANOLA,CANOLA
419,ALL CROPS,
420,ALL FIELD CROPS INCLUDING CEREALS,
421, OILSEEDS,
422, PULSES,
423, FORAGES AND CORN,CORN
424,APRICOT,
425,ASH (FRAXINUS SPP.),
426,BARLEY (INCLUDING MALTING BARLEY),BARLEY
427,CARAGANA (CARAGANA SPP.),
428,CHERRY (PRUNUS SPP.),
429,CHERRY (SOUR),
430,CHERRY (SWEET),
431,CUT STUMP APPLICATIONS,
432,DRY BEANS,
433,ELM (ULMUS SPP.),
434,FILBERTS,
435,FIR (ABIES SPP.),
436,FLAX (INCLUDING LOW-LINOLENIC ACID VARIETIES),
437,FORAGE CROPS,
438,FORAGE SEED PRODUCTION,
439,FOREST ROADSIDES,
440,GLYPHOSATE TOLERANT CANOLA,CANOLA
441,GLYPHOSATE TOLERANT SOYBEAN,
442,HAZELNUT,
443,HIGHBUSH (CULTIVATED) BLUEBERRY,
444,INDUSTRIAL RIGHT-OF-WAY,
445,JAPANESE CHESTNUT,
446,JUNIPER (JUNIPERUS SPP.),
447,LEGUMES,
448,LEGUMES (INCLUDING SEED PRODUCTION),
449,LILAC (SYRINGA SPP.),
450,MAPLE (ACER SPP.),
451,MOUNTAIN ASH (SORBUS AMERICANA),
452,PASTURE RENOVATION,
453,PETROLEUM TANK FARMS,
454,PINE (PINUS SPP.),
455,PIPELINES,
456,POPLAR (POPULUS SPP.),
457,POWER RIGHT-OF-WAYS,
458,PUBLIC AREAS,
459,PUMPING STATIONS,
460,RAILWAYS,
461,RECREATIONAL AREAS,
462,RUSSIAN OLIVE (ELAEAGNUS SPP.),
463,SCHOOLYARDS,
464,SPRUCE (PICEA SPP.),
465,STRAWBERRY,
466,TELEPHONE RIGHT-OF-WAYS,
467,TREE INJECTION,
468,TURFGRASS RENOVATION,
469,WILLOW (SALIX SPP.),
470,WOODY BRUSH AND TREES,
471,YEW (TAXUS SPP.),
472,ALL FIELD CROPS,
473,ANNUAL CROPS,
474,BLUEBERRY,
475,CANOLA (INCLUDING ROUNDUP READY® VARIETIES),CANOLA
476,CARAGANA (CARAGAN SPP.),
477,CHERRY SOUR,
478,CHERRY SWEET,
479,CHICKPEA,
480,DRIED FAVA BEAN,
481,DRIED LUPIN,
482,FLAX (LOW LINOLENIC ACID VARIETIES),
483,FORAGES,
484,FORAGES LEGUMES,
485,HIGHWAY RIGHTS-OF-WAY,
486,INDUSTRIAL AREAS,
487,INDUSTRIAL PLANT SITES,
488,INDUSTRIAL RIGHTS-OF-WAY,
489,JAPANESE HEARTNUT,
490,LEGUMES INCLUDING SEED PRODUCTION,
491,LUMBERYARDS,
492,MOUNTAIN ASH (SORBUS SPP.),
493,NON-CROPLAND AREAS,
494,NORTH AMERICAN GINSENG,
495,OILSEEDS,
496,ORCHARDS,
497,PARKING AREAS,
498,PIPELINE RIGHTS-OF-WAY,
499,POWER RIGHTS-OF-WAY,
500,PULSES,
501,PUMPING INSTALLATIONS,
502,RAILROAD RIGHTS-OF-WAY,
503,ROUNDUP READY® HYBRID CANOLA SEED PRODUCTION,CANOLA
504,SCHOOL YARDS,
505,SOYBEANS (INCLUDING ROUNDUP READY VARIETIES),
506,TELEPHONE RIGHTS-OF-WAY,
507,ANNUAL CANARYGRASS,
508,ORIENTAL MUSTARD (CONDIMENT TYPES),
509,ORIENTAL MUSTARD (OILSEED TYPES),
510,RAPESEED,
511,ORIENTAL MUSTARD,
512,PEAS (DRY),PEAS
513,ALFALFA ESTABLISHMENT (FLAX AND CANOLA COVER CROPS ONLY),CANOLA
514,DURUM WHEAT SUMMERFALLOW,WHEAT
515,SPRING WHEAT (INCLUDES SEMI-DWARF),WHEAT
516,SPRING WHEAT (INCLUDES SEMI-DWARF) SUMMERFALLOW,WHEAT
517,SUNFLOWER,
518,TRIAZINE TOLERANT CANOLA (T.T. CANOLA),CANOLA
519,APPLE TREES,
520,APRICOT TREES,
521,ASPARAGUS - ESTABLISHED THREE YEARS,
522,BIRD?S-FOOT TREFOIL,
523,BRUSSELS SPROUTS,
524,CHERRY TREES,
525,CICER MILKVETCH,
526,CRAMBE,
527,FALL TRITICALE,WHEAT
528,FORAGE KALE,
529,FORAGE RAPE,
530,HARD RED SPRING WHEAT,WHEAT
531,ORNAMENTALS,
532,PEACH TREES,
533,PEAR TREES,
534,PEPPERS,
535,PLUM TREES,
536,SASKATOON BERRIES,
537,SEEDLING ALSIKE CLOVER,
538,SHELTERBELTS,
539, COMMON,
540,SOFT WHITE SPRING WHEAT,WHEAT
541,STRAWBERRIES (SPRING APPLICATION ONLY),
542,STUBBLE TURNIPS (WHITE),
543,SWEET CLOVER,
544,TOMATOES,
545,TRIAZINE TOLERANT CANOLA,CANOLA
546,TRIAZINE TOLERANT CANOLA (PEDIGREED SEED ONLY),CANOLA
547,TIMOTHY,
548,CELERY,
549,FRUIT TREES,
550,SHELTER BELT,
551,BROCCOLI (DIRECT SEEDED),
552,CABBAGE (DIRECT SEEDED),
553,CAULIFLOWER (DIRECT SEEDED),
554,CONIFERS SEEDLINGS AND  ESTABLISHED AND TRANSPLANT CONIFERS,
555,DRY BULB SHALLOTS,
556,ESTABLISHED CONIFERS FIELD PRODUCTION,
557,PLUG (SMALL CONTAINER) GROWN SEEDLINGS,
558,POPULUS SPECIES (POPLARS AND ASPENS),
559,RED RASPBERRIES,
560,ALSIKE,
561,CAMELINA SATIVA,
562,CROP GROUP 9: CUCURBIT VEGETABLES,
563,DRY COMMON BEANS (PHASEOLUS VULGARIS),
564,INDUSTRIAL HEMP GROWN FOR FIBRE,
565, OIL,
566,SEEDLING BIRD?S-FOOT TREFOIL,
567,SEEDLING CREEPING RED FESCUE (SEED PRODUCTION),
568,SEEDLING LEGUMES,
569,SOYBEANS (INCLUDING VARIETIES DESIGNATED ?STS?),
570,AFRICAN EGGPLANT,
571,ARROWROOT,
572,BEAN (LUPINUS SPP. INCLUDES GRAIN LUPIN,
573, SWEET LUPIN,
574, WHITE LUPIN,
575, AND WHITE SWEET LUPIN),
576, BEAN (PHASEOLUS SPP. INCLUDES FIELD BEAN,
577, KIDNEY BEAN,
578, LIMA BEAN (DRY),
579, NAVY BEAN,
580, PINTO BEAN,
581, TEPARY BEAN),
582, BEAN (VIGNA SPP. INCLUDES ADZUKI BEAN,
583, BLACKEYED PEA,
584, CATJANG,
585, COWPEA,
586, MOTH BEAN,
587, MUNG BEAN,
588, RICE BEAN,
589, SOUTHERN PEA,PEAS
590, URD BEAN),
591, BROAD BEAN (FAVA BEAN),
592, CHICKPEA (GARBANZO BEAN),
593, GUAR,
594, LABLAB BEAN (HYACINTH BEAN),
595, PEA (PISUM SPP. INCLUDES FIELD PEA),PEAS
596, PIGEON PEA,PEAS
597,BELL PEPPER,
598,BLACK SALSIFY,
599,BUCKWHEAT,
600,BUR OAK,
601,CELERIAC (CELERY ROOT),
602,CEREAL GRAINS (CG15),
603,CHICORY,
604,CHINESE ARTICHOKE,
605,CHINESE WAXGOURD (CHINESE PRESERVING MELON),
606,CHINQUAPIN,
607,CHUFA,
608,CORN (INCLUDES SWEET CORN,CORN
609, FIELD CORN),CORN
610,CROP GROUP 11-09 (CANADA GROWN) POME FRUITS,
611,CROP GROUP 3-07: BULB VEGETABLES,
612,CROP GROUP 4-13: LEAFY VEGETABLES REPRESENTATIVE COMMODITIES: HEAD LETTUCE,
613, LEAF  LETTUCE,
614, SPINACH,
615, AND MUSTARD GREENS,
616,CROP GROUP 5-13: BRASSICA HEAD AND STEM VEGETABLES REPRESENTATIVE COMMODITIES: BROCCOLI OR CAULFILOWER,
617, AND CABBAGE,
618,CROP GROUP 6: LEGUME VEGETABLES (SUCCULENT OR DRIED),
619,CROP SUBGROUP 13-07A: CANEBERRY,
620,CROP SUBGROUP 20A: RAPESEED,
621,CROP SUBGROUP 20B (CANADA GROWN) SUNFLOWERS,
622,CROP SUBGROUP 22B: LEAF PETIOLES VEGETABLES: REPRESENTATIVE COMMODITY: CELERY,
623,CROPS OF GROUP 12-09 (CANADA GROWN) STONE FRUITS,
624,CUCURBIT VEGETABLES (CG9),
625,CURRANT TOMATO,
626,DASHEEN (TARO),
627,EDIBLE BURDOCK,
628,EDIBLE CANNA,
629,EDIBLE GOURD (INCLUDES HYOTAN,
630, CUCUZZA,
631, HECHIMA,
632, CHINESE OKRA),
633,EGGPLANT,
634,FALLOW CROPPING SYSTEMS,
635,FIELD GROWN WOODY ORNAMENTAL NURSERIES (GENUS. SUCH AS MALUS,
636, PRUNUS,
637, SORBUS),
638,FRUITING VEGETABLES (CG8-09),
639,GARDEN BEET,
640,GARDEN HUCKLEBERRY,
641,GINKGO,
642,GINSENG,
643,GOJI BERRY,
644,GRAPE,
645,GROUNDCHERRY,
646,HAZELNUT (FILBERT),
647,HOPS,
648,HORSERADISH,
649,JAPANESE HORSE-CHESTNUT,
650,JERUSALEM ARTICHOKE,
651,LEGUME VEGETABLES (CG6),
652,MARTYNIA,
653,MILLET,
654,MINT,
655,MOMORDICA SPP. (I,
656,CANOLA (INCLUDING IMAZETHAPYR-TOLERANT VARIETIES),CANOLA
657,DESI TYPE CHICKPEAS,
658,DRY BEANS (PINTO,
659, BLACK,
660, GREAT NORTHERN,
661, RED,
662, PINK AND NAVY),
663,DRY ONIONS,
664,MUSTARD (ORIENTAL,
665, BROWN,
666, YELLOW),
667, (CONDIMENT TYPE ONLY),
668,ESTABLISHED FAIRWAYS,
669,NON CROP/ NON-GRAZED LAND,
670,ESTABLISHED LEGUMES,
671,ESTABLISHED RED CLOVER,
672,SEEDLING RED CLOVER,
673,SPRING CEREALS,
674, UNDERSEEDED WITH ALFALFA OR BIRDS-FOOT TREFOIL,
675,ALMONDS,
676,ARONIA BERRY (ARONIA SPP.),
677, CURRANT (RIBES SPP.),
678, BLUEBERRY,
679, HIGHBUSH (VACCINIUM SPP.),
680, ELDERBERRY (SAMBUCUS SPP.),
681, GOOSEBERRY (RIBES SPP.),
682, BUFFALO CURRANT (RIBES AUREUM),
683, HUCKLEBERRY (GAYLUSSACIA SPP.),
684, CHILEAN GUAVA (MYRTUS UGNI),
685, CURRANT,
686, BLACK (RIBES NIGRUM),
687, RED (RIBES RUBRUM),
688, EUROPEAN BARBERRY (BERBERIS VULGARIS),
689, HIGHBUSH CRANBERRY (VIBURNUM OPULUS VAR. AMERICANUM),
690, HONEYSUCKLE,
691, EDIBLE (LONICERA CAERULA VAR. EMPHYLLOCALYX),
692, JOSTABERRY (RIBES X NIDIGROLARIA),
693, JUNEBERRY (SASKATOON BERRY) (AMELANCHIER SPP.),
694, LINGONBERRY (VACCINIUM VITIS-IDAEA). NATIVE CURRANT (ACROTRICHE DEPRESSA),
695, SALAL (GAULTHERIA SHALLON),
696, SEA BUCKTHORN (HIPPOPHAE RHAMNOIDES) CULTIVARS,
697, VARIETIES AND/OR HYBRIDS OF THESE,
698, LOWBUSH (VACCINIUM ANGUSTIFOLIUM),
699,CHERRIES (SWEET/SOUR),
700,CHESTNUTS,
701,HAZELNUTS,
702,JAPANESE HEARTNUTS,
703,WALNUTS,
704,ESTABLISHED KENTUCKY BLUEGRASS,
705,ESTABLISHED PERENNIAL RYEGRASS,
706,AROUND GREENHOUSES,
707,GREENHOUSES,
708,PATIOS,
709,PLANT NURSERIES,
710,POWER STATIONS,
711,SIDEWALKS,
712,TANK FARMS,
713,CLEARFIELD CANOLA QUALITY BRASSICA JUNCEA (CANOLA QUALITY BRASSICA JUNCEA VARIETIES WITH THE CLEARFIELD TRAIT),CANOLA
714,CLEARFIELD® CANOLA (CANOLA VARIETIES WITH THE CLEARFIELD TRAIT),CANOLA
715,CANARY SEED (PHALARIS CANARIENSIS),
716,PUBESCENT WHEATGRASS,WHEAT
717,RED FESCUE,
718,STUBBLE,
719,GLUFOSINATE AMMONIUM TOLERANT CANOLA VARIETIES ONLY,CANOLA
720,GLYPHOSATE TOLERANT SOYBEANS,
721,IMAZETHAPYR TOLERANT CANOLA,CANOLA
722,ORIENTAL (BROWN) MUSTARD,
723,DRY COMMON BEANS (PHASEOLUS VULGARIS VARIETIES ONLY),
724,ORIENTAL (BROWN) MUSTARD (CONDIMENT TYPES),
725,ORIENTAL (BROWN) MUSTARD (OILSEED TYPES),
726,DRY BEANS (BLACK),
727,DRY BEANS (GREAT NORTHERN),
728,DRY BEANS (NAVY),
729,DRY BEANS (PINK),
730,DRY BEANS (PINTO),
731,DRY BEANS (RED),
732,MUSTARD (BROWN) (CONDIMENT TYPE ONLY),
733,MUSTARD (ORIENTAL) (CONDIMENT TYPE ONLY),
734,MUSTARD (YELLOW) (CONDIMENT TYPE ONLY),
735,DRY BEANS ( BLACK),
736,APPLES (ESTABLISHED ORCHARDS),
737,ASPARAGUS (ESTABLISHED BEDS),
738,ASPARAGUS (STALE SEEDBED,
